,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2018-06-30,"$29,743",-,-,-,-,"$164,095","$4,251","$4,753",-,"$11,762","$20,766","$184,861","$85,385","$55,883","$22,701","$78,584","$163,969",$173,"$10,896","$-2,483",-,"$20,892","$184,861"
2018-03-31,"$31,092",-,-,-,-,"$161,868","$4,271","$3,388",-,"$10,429","$18,088","$179,956","$84,990","$52,461","$22,892","$75,353","$160,343",$172,"$9,597","$-2,381",-,"$19,613","$179,956"
2017-12-31,"$32,927",-,-,-,-,"$163,962","$4,329","$3,159",-,"$9,746","$17,234","$181,196","$84,942","$55,804","$22,189","$77,993","$162,935",$172,"$8,307","$-2,428",-,"$18,261","$181,196"
2017-09-30,"$26,168",-,-,-,-,"$148,515","$4,367","$3,250",-,"$12,445","$20,062","$168,577","$78,248","$48,762","$20,482","$69,244","$147,492",$175,"$10,908","$-2,316",-,"$21,085","$168,577"
2017-06-30,"$30,442",-,-,-,-,"$148,710","$4,445","$3,360",-,"$10,482","$18,287","$166,997","$75,761","$51,945","$18,116","$70,061","$145,822",$177,"$10,970","$-2,428",-,"$21,175","$166,997"
2017-03-31,"$29,366",-,-,-,-,"$143,287","$4,433","$3,561",-,"$10,104","$18,098","$161,385","$71,796","$51,647","$17,007","$68,654","$140,450",$179,"$10,633","$-2,470",-,"$20,935","$161,385"
2016-12-31,"$25,208",-,-,-,-,"$140,742","$4,433","$3,157",-,"$10,561","$18,151","$158,893","$72,625","$46,990","$18,777","$65,767","$138,392",$181,"$10,371","$-2,784",-,"$20,501","$158,893"
2016-09-30,"$26,520",-,-,-,-,"$134,512","$4,301","$3,728",-,"$10,836","$18,865","$153,377","$70,389","$44,894","$17,077","$61,971","$132,360",$184,"$10,661","$-2,618",-,"$21,017","$153,377"
2016-06-30,"$33,767",-,-,-,-,"$141,192","$4,210","$3,892",-,"$10,348","$18,450","$159,642","$71,279","$50,649","$17,002","$67,651","$138,930",$185,"$10,280","$-2,621",-,"$20,712","$159,642"
2016-03-31,"$25,045",-,-,-,-,"$140,974","$4,137","$3,839",-,"$9,866","$17,842","$158,816","$73,398","$47,311","$17,380","$64,691","$138,089",$191,"$9,949","$-2,502",-,"$20,727","$158,816"
2015-12-31,"$22,762",-,-,-,-,"$143,248","$4,108","$3,759",-,"$10,069","$17,936","$161,184","$74,878","$48,061","$17,572","$65,633","$140,511",$194,"$9,665","$-2,534",-,"$20,673","$161,184"
2015-09-30,"$19,938",-,-,-,-,"$135,130","$4,032","$3,947",-,"$11,107","$19,086","$154,216","$66,845","$48,653","$17,383","$66,036","$132,881",$197,"$10,025","$-2,374",-,"$21,335","$154,216"
2015-06-30,"$21,071",-,-,-,-,"$137,170","$4,016","$4,584",-,"$11,382","$19,982","$157,152","$65,933","$52,740","$16,594","$69,334","$135,267",$201,"$10,199","$-2,154",-,"$21,885","$157,152"
