,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2016-03-31,"$105,552","$12,247","$2,450",-,"$6,598","$128,421","$16,831","$11,315","$22,407","$2,895","$53,448","$181,869","$44,354","$40,896","$14,122","$62,709","$107,063","$68,012","$4,954","$1,840",-,"$74,806","$181,869"
2015-12-31,"$102,640","$14,507","$2,702",-,"$6,345","$127,812","$15,789","$11,514","$22,055","$2,928","$52,286","$180,098","$42,643","$40,679","$13,700","$60,675","$103,318","$68,279","$6,728","$1,773",-,"$76,780","$180,098"
2015-09-30,"$99,355","$11,444","$3,816",-,"$5,594","$121,656","$15,046","$11,438","$21,887","$2,869","$51,240","$172,896","$49,399","$27,819","$13,280","$46,052","$95,451","$68,093","$7,614","$1,738",-,"$77,445","$172,896"
2015-06-30,"$96,526","$17,908","$2,902",-,"$5,461","$122,797","$14,731","$12,053","$21,774","$3,117","$51,675","$174,472","$49,647","$27,808","$13,544","$44,742","$94,389","$68,465","$9,096","$2,522",-,"$80,083","$174,472"
2015-03-31,"$95,438","$12,427","$2,469",-,"$6,376","$118,398","$14,375","$12,019","$28,691","$3,200","$58,285","$176,683","$40,748","$27,644","$13,274","$45,803","$86,551","$68,475","$18,186","$3,471",-,"$90,132","$176,683"
2014-12-31,"$90,249","$16,186","$2,053",-,"$6,173","$116,362","$13,607","$12,665","$29,154","$3,060","$58,486","$174,848","$47,415","$18,260","$12,423","$35,554","$82,969","$68,765","$19,731","$3,383",-,"$91,879","$174,848"
2014-09-30,"$89,193","$12,887","$3,141",-,"$5,434","$112,439","$13,229","$13,943","$26,774","$3,271","$57,217","$169,656","$44,694","$18,472","$11,781","$34,792","$79,486","$68,362","$18,051","$3,757",-,"$90,170","$169,656"
2014-06-30,"$85,709","$19,544","$2,660",-,"$4,392","$114,246","$13,011","$14,597","$27,108","$3,422","$58,138","$172,384","$45,625","$20,645","$11,594","$36,975","$82,600","$68,366","$17,710","$3,708",-,"$89,784","$172,384"
2014-03-31,"$88,425","$13,497","$1,920",-,"$3,740","$109,006","$11,771","$14,792","$17,652","$2,898","$47,113","$156,119","$33,903","$20,679","$9,953","$34,792","$68,695","$67,803","$16,289","$3,332",-,"$87,424","$156,119"
2013-12-31,"$83,944","$15,986","$1,594",-,"$4,018","$106,870","$11,567","$14,607","$17,625","$2,874","$46,673","$153,543","$33,742","$20,676","$9,790","$34,701","$68,443","$67,476","$14,347","$3,277",-,"$85,100","$153,543"
2013-09-30,"$80,672","$11,007","$2,613",-,"$3,900","$99,450","$10,774","$11,995","$17,649","$2,480","$42,898","$142,348","$34,623","$12,632","$9,587","$26,084","$60,707","$67,230","$11,680","$2,731",-,"$81,641","$142,348"
2013-06-30,"$77,022","$17,486","$1,938",-,"$3,388","$101,466","$9,991","$10,844","$17,738","$2,392","$40,965","$142,431","$37,417","$12,601","$10,000","$26,070","$63,487","$67,306","$9,895","$1,743",-,"$78,944","$142,431"
2013-03-31,"$74,483","$11,991","$2,133",-,"$3,241","$93,524","$9,204","$11,193","$17,922","$2,262","$40,581","$134,105","$31,929","$11,949","$9,721","$25,488","$57,417","$66,826","$7,657","$2,205",-,"$76,688","$134,105"
2012-12-31,"$68,312","$14,317","$1,661",-,"$3,301","$89,574","$8,698","$10,707","$18,068","$1,636","$39,109","$128,683","$31,910","$11,947","$8,397","$24,197","$56,107","$66,334","$4,236","$2,006",-,"$72,576","$128,683"
2012-09-30,"$66,644","$9,871","$1,624",-,"$3,860","$84,051","$8,329","$10,038","$17,889","$1,569","$37,825","$121,876","$31,402","$9,714","$8,423","$21,638","$53,040","$66,084",$932,"$1,820",-,"$68,836","$121,876"
2012-06-30,"$63,040","$15,780","$1,137",-,"$3,092","$85,084","$8,269","$9,776","$16,622","$1,520","$36,187","$121,271","$32,688","$10,713","$8,208","$22,220","$54,908","$65,797",$-856,"$1,422",-,"$66,363","$121,271"
2012-03-31,"$59,529","$10,961","$1,412",-,"$2,608","$76,860","$8,225","$9,068","$22,454","$1,403","$41,150","$118,010","$26,170","$11,938","$8,525","$23,181","$49,351","$65,273","$3,386",-,-,"$68,659","$118,010"
2011-12-31,"$51,736","$13,643","$1,351",-,"$3,614","$72,513","$8,010","$7,550","$22,251","$1,919","$39,730","$112,243","$25,373","$11,932","$8,386","$22,749","$48,122","$63,902",$219,-,-,"$64,121","$112,243"
2011-09-30,"$57,403","$10,153","$2,270",-,"$3,255","$75,271","$8,033","$8,576","$13,563","$1,972","$32,144","$107,415","$25,543","$11,927","$8,201","$22,481","$48,024","$63,492","$-4,101",-,-,"$59,391","$107,415"
2011-06-30,"$52,772","$14,987","$1,372",-,"$3,320","$74,918","$8,162","$10,865","$13,325","$1,434","$33,786","$108,704","$28,774","$11,921","$8,072","$22,847","$51,621","$63,415","$-6,332",-,-,"$57,083","$108,704"
2011-03-31,"$50,150","$10,033","$1,056",-,"$2,438","$66,263","$7,969","$10,748","$13,394","$1,353","$33,464","$99,727","$24,042","$11,915","$8,001","$22,233","$46,275","$63,234","$-9,782",-,-,"$53,452","$99,727"
2010-12-31,"$41,252","$12,874",$861,-,"$2,149","$59,684","$7,799","$10,022","$13,494","$1,307","$32,622","$92,306","$24,312","$9,671","$7,662","$19,513","$43,825","$61,646","$-13,165",-,-,"$48,481","$92,306"
2010-09-30,"$44,173","$9,646","$1,242",-,"$2,176","$59,581","$7,771","$9,211","$13,548","$1,429","$31,959","$91,540","$25,857","$9,665","$7,384","$18,741","$44,598","$61,935","$-14,993",-,-,"$46,942","$91,540"
2010-06-30,"$36,788","$13,014",$740,-,"$2,950","$55,676","$7,630","$7,754","$13,552","$1,501","$30,437","$86,113","$26,147","$4,939","$7,445","$13,791","$39,938","$62,856","$-16,681",-,-,"$46,175","$86,113"
2010-03-31,"$39,666","$9,137",$501,-,"$2,992","$54,518","$7,372","$7,797","$13,745","$1,478","$30,392","$84,910","$26,424","$3,746","$7,113","$12,776","$39,200","$62,517","$-16,807",-,-,"$45,710","$84,910"
2009-12-31,"$36,099","$11,196",$589,-,"$2,547","$52,487","$7,402","$6,976","$13,714","$1,517","$29,609","$82,096","$25,715","$3,746","$6,808","$12,098","$37,813","$62,566","$-18,283",-,-,"$44,283","$82,096"
2009-09-30,"$36,728","$8,587","$1,150",-,"$3,325","$52,231","$7,512","$6,006","$14,235","$1,628","$29,381","$81,612","$28,761","$3,746","$6,537","$11,639","$40,400","$62,293","$-21,081",-,-,"$41,212","$81,612"
2009-06-30,"$31,447","$11,192",$717,-,"$3,711","$49,280","$7,535","$4,933","$14,262","$1,599","$28,608","$77,888","$27,034","$3,746","$6,269","$11,296","$38,330","$62,382","$-22,824",-,-,"$39,558","$77,888"
2009-03-31,"$25,340","$9,182",$657,-,"$3,619","$40,724","$7,112","$4,112","$14,310","$1,639","$28,129","$68,853","$23,823",-,"$6,699","$8,087","$31,910","$61,896","$-24,953",-,-,"$36,943","$68,853"
2008-12-31,"$20,715","$10,953",$968,-,"$3,590","$37,730","$6,996","$3,922","$14,305","$1,724","$28,056","$65,786","$23,710",-,"$6,064","$7,598","$31,308","$61,392","$-26,914",-,-,"$34,478","$65,786"
2008-09-30,"$20,722","$9,535","$1,640",-,"$3,331","$37,202","$6,552","$4,381","$14,190","$1,751","$27,915","$65,117","$24,383",-,"$5,478","$7,140","$31,523","$61,655","$-28,061",-,-,"$33,594","$65,117"
2008-06-30,"$23,662","$13,589",$985,-,"$2,989","$43,242","$6,242","$6,588","$14,081","$1,691","$29,551","$72,793","$29,886",-,"$4,721","$6,621","$36,507","$62,849","$-26,563",-,-,"$36,286","$72,793"
2008-03-31,"$26,341","$9,871",$774,-,"$2,782","$41,489","$5,516","$8,659","$11,985","$1,731","$29,258","$70,747","$27,028",-,"$4,411","$6,165","$33,193","$63,375","$-25,821",-,-,"$37,554","$70,747"
2007-12-31,"$21,076","$11,621",$755,-,"$2,840","$37,775","$4,965","$9,413","$12,026","$1,960","$29,564","$67,339","$22,058",-,"$8,893","$10,850","$32,908","$62,528","$-28,097",-,-,"$34,431","$67,339"
2007-09-30,"$21,574","$8,982","$1,178",-,"$2,548","$35,853","$4,615","$9,707","$11,869","$2,014","$29,792","$65,645","$22,744",-,"$8,981","$10,766","$33,510","$60,699","$-28,564",-,-,"$32,135","$65,645"
2007-06-30,"$23,411","$11,338","$1,127",-,"$2,393","$40,168","$4,350","$10,117","$5,638","$1,509","$23,003","$63,171","$23,754",-,"$6,453","$8,320","$32,074","$60,557","$-29,460",-,-,"$31,097","$63,171"
2007-03-31,"$28,236","$8,454","$1,750",-,"$2,374","$42,783","$3,923","$9,624","$4,916","$1,228","$21,108","$63,891","$21,627",-,"$5,559","$7,291","$28,918","$60,827","$-25,854",-,-,"$34,973","$63,891"
2006-12-31,"$28,873","$9,895","$1,725",-,"$2,080","$45,180","$3,686","$9,631","$4,934","$1,284","$21,191","$66,371","$22,215",-,"$5,684","$7,522","$29,737","$61,152","$-24,518",-,-,"$36,634","$66,371"
2006-09-30,"$31,832","$6,879","$2,521",-,"$2,058","$45,358","$3,193","$8,762","$4,873","$1,287","$19,996","$65,354","$21,972",-,"$5,494","$7,281","$29,253","$57,657","$-21,556",-,-,"$36,101","$65,354"
2006-06-30,"$34,161","$9,316","$1,478",-,"$2,115","$49,010","$3,044","$9,232","$4,405","$1,295","$20,587","$69,597","$22,442",-,"$5,287","$7,051","$29,493","$59,005","$-18,901",-,-,"$40,104","$69,597"
2006-03-31,"$34,816","$6,818","$1,113",-,"$1,845","$46,628","$2,543","$8,888","$4,070","$1,289","$20,226","$66,854","$18,367",-,"$4,763","$6,449","$24,816","$59,850","$-17,812",-,-,"$42,038","$66,854"
2005-12-31,"$34,701","$7,758","$1,003",-,"$1,745","$46,694","$2,452","$9,095","$4,019","$1,284","$20,563","$67,257","$16,747",-,"$4,582","$6,302","$23,049","$60,140","$-15,932",-,-,"$44,208","$67,257"
2005-09-30,"$40,056","$5,799",$726,-,"$1,770","$49,831","$2,351","$10,062","$4,006","$1,292","$21,631","$71,462","$17,022",-,"$4,455","$6,113","$23,135","$60,862","$-12,535",-,-,"$48,327","$71,462"
2005-06-30,"$37,751","$7,180",$491,-,"$1,614","$48,737","$2,346","$11,004","$3,808","$1,299","$22,078","$70,815","$16,877",-,"$4,158","$5,823","$22,700","$60,413","$-12,298",-,-,"$48,115","$70,815"
2005-03-31,"$37,594","$5,610",$340,-,"$1,269","$46,593","$2,321","$11,772","$3,579","$1,296","$19,682","$66,275","$16,139",-,"$1,097","$2,763","$18,902","$58,829","$-11,456",-,-,"$47,373","$66,275"
