,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2015-12-31,$275,$802,-,$429,-,"$1,506",$396,-,"$7,072",$366,"$7,834","$9,340","$1,502","$4,288",$164,"$5,178","$6,680",$4,"$8,064",$-74,-,"$2,660","$9,340"
2015-09-30,$309,$783,-,$402,-,"$1,531",$397,-,"$7,107",$352,"$7,856","$9,387","$1,411","$4,230",$157,"$5,107","$6,518",$4,"$7,875",$-75,-,"$2,869","$9,387"
2015-06-30,$530,$746,-,$398,-,"$1,714",$382,-,"$7,144",$348,"$7,874","$9,588","$1,336","$4,231",$166,"$5,109","$6,445",$4,"$7,657",$-66,-,"$3,143","$9,588"
2015-03-31,$296,$765,-,$398,-,"$1,498",$338,-,"$7,178",$321,"$7,837","$9,335","$1,501","$3,757",$139,"$4,616","$6,117",$4,"$7,530",$-71,-,"$3,218","$9,335"
2014-12-31,$294,$798,-,$352,-,"$1,444",$317,-,"$7,212",$335,"$7,864","$9,308","$1,486","$3,698",$129,"$4,527","$6,013",$4,"$7,352",$-63,-,"$3,295","$9,308"
2014-09-30,$409,$748,-,$381,-,"$1,579",$304,-,"$7,254",$301,"$7,859","$9,438","$1,397","$3,756",$130,"$4,579","$5,976",$4,"$7,171",$-57,-,"$3,462","$9,438"
2014-06-30,$329,$730,-,$421,-,"$1,525",$300,-,"$7,287",$291,"$7,878","$9,403","$1,368","$3,756",$124,"$4,560","$5,928",$4,"$6,932",$-49,-,"$3,475","$9,403"
2014-03-31,$307,$752,-,$436,-,"$1,547",$284,-,"$7,316",$326,"$7,926","$9,473","$1,438","$3,756",$119,"$4,592","$6,030",$4,"$6,766",$-54,-,"$3,443","$9,473"
2013-12-31,$400,$751,-,$366,-,"$1,572",$266,-,"$7,358",$317,"$7,941","$9,513","$1,332","$3,756",$127,"$4,596","$5,928",$4,"$6,598",$-60,-,"$3,585","$9,513"
2013-09-30,$321,$710,-,$442,-,"$1,527",$259,-,"$7,397",$273,"$7,929","$9,456","$1,228","$3,929",$156,"$4,768","$5,996",$2,"$6,377",$-63,-,"$3,460","$9,456"
2013-06-30,$320,$691,-,$384,-,"$1,454",$255,-,"$7,440",$285,"$7,980","$9,434","$1,173","$3,951",$153,"$4,798","$5,971",$2,"$6,218",$-67,-,"$3,463","$9,434"
2013-03-31,$356,$674,-,$364,-,"$1,453",$258,-,"$7,483",$369,"$8,110","$9,563","$1,190","$4,047",$118,"$4,876","$6,066",$2,"$6,067",$-62,-,"$3,497","$9,563"
2012-12-31,$358,$661,-,$349,-,"$1,443",$248,-,"$6,449",$357,"$7,054","$8,497","$1,105","$3,228",$109,"$3,975","$5,080",$4,"$5,950",$-60,-,"$3,417","$8,497"
2012-09-30,$307,$643,-,$338,-,"$1,325",$256,-,"$6,501",$371,"$7,128","$8,453","$1,051","$3,447",$94,"$4,144","$5,195",$2,"$5,771",$-61,-,"$3,258","$8,453"
2012-06-30,$302,$606,-,$336,-,"$1,283",$256,-,"$6,532",$345,"$7,133","$8,416","$1,235","$3,237",$81,"$3,928","$5,163",$2,"$5,632",$-73,-,"$3,253","$8,416"
2012-03-31,$311,$650,-,$317,-,"$1,316",$260,-,"$6,572",$336,"$7,168","$8,484","$1,353","$3,218",$78,"$3,916","$5,269",$2,"$5,471",$-62,-,"$3,215","$8,484"
2011-12-31,$337,$666,-,$309,-,"$1,356",$258,-,"$6,601",$333,"$7,192","$8,548","$1,384","$3,216",$73,"$3,906","$5,290",$2,"$5,339",$-78,-,"$3,258","$8,548"
2011-09-30,$281,$579,-,$304,-,"$1,211",$262,-,"$6,659",$319,"$7,240","$8,451","$1,042","$3,514",$99,"$4,257","$5,299",$2,"$5,196",$-79,-,"$3,152","$8,451"
2011-06-30,$675,$547,-,$259,-,"$1,523",$272,-,"$6,247",$354,"$6,873","$8,396","$1,154","$3,350",$170,"$4,156","$5,310",$2,"$5,069",$-47,-,"$3,086","$8,396"
2011-03-31,$517,$528,-,$261,-,"$1,346",$276,-,"$6,283",$352,"$6,911","$8,257",$946,"$3,352",$173,"$4,173","$5,119",$2,"$4,979",$-41,-,"$3,138","$8,257"
2010-12-31,$563,$572,-,$245,-,"$1,417",$267,-,"$6,256",$341,"$6,864","$8,281",$891,"$3,353",$181,"$4,161","$5,052",$2,"$4,867",$-50,-,"$3,229","$8,281"
