,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2011-03-31,"$1,658.951",$56.64,$285.849,$60.769,$58.848,"$2,229.51","$3,738.733",$19.314,"$2,537.135",$123.615,"$6,418.797","$8,648.307",$903.724,"$4,255.064",$73.667,"$5,112.03","$6,015.754",$0.036,$914.486,$2.058,-,"$2,632.553","$8,648.307"
2010-12-31,"$1,171.393",$58.056,$161.049,$50.477,$63.135,"$1,593.885","$3,659.445",$16.7,"$2,522.241",$126.309,"$6,324.695","$7,918.58",$802.42,"$3,757.287",$72.828,"$4,574.584","$5,377.004",$0.036,$858.108,$-1.415,-,"$2,541.576","$7,918.58"
2010-09-30,"$1,902.416",$46.737,$126.201,$60.043,$40.721,"$2,245.754","$3,423.533",$6.319,"$2,490.629",$154.378,"$6,074.859","$8,320.613",$689.008,"$4,314.105",$82.916,"$5,124.94","$5,813.948",$0.035,$844.557,$-10.275,-,"$2,506.665","$8,320.613"
2010-06-30,"$1,076.399",$47.786,$195.363,$65.407,$31.824,"$1,487.525","$3,306.443",$6.319,"$2,471.93",$206.905,"$5,991.597","$7,479.122",$677.574,"$3,628.544",$81.389,"$4,385.004","$5,062.578",$0.035,$767.269,$-9.762,-,"$2,416.544","$7,479.122"
2010-03-31,"$1,189.431",$52.838,$117.594,$69.557,$35.34,"$1,538.031","$3,263.511",$6.319,"$2,470.568",$178.121,"$5,918.52","$7,456.55",$804.324,"$3,630.872",$73.955,"$4,330.172","$5,134.496",$0.035,$687.354,$-10.68,-,"$2,322.054","$7,456.55"
2009-12-31,"$1,154.313",$51.536,$147.401,$48.353,$28.426,"$1,491.391","$3,252.213",$6.319,"$2,470.181",$165.913,"$5,894.626","$7,386.017",$797.469,"$3,625.949",$81.664,"$4,300.406","$5,097.875",$0.035,$664.693,$-11.34,-,"$2,288.142","$7,386.017"
2009-09-30,"$1,180.506",$47.78,$88.124,$88.792,$23.642,"$1,469.271","$3,097.625",$3.846,"$2,451.544",$140.603,"$5,693.618","$7,162.889",$671.294,"$3,590.688",$103.644,"$4,257.964","$4,929.258",$0.035,$631.568,$-20.455,-,"$2,233.631","$7,162.889"
2009-06-30,"$1,094.643",$54.159,$99.877,$61.139,$33.79,"$1,394.361","$3,038.984",$4.422,"$2,447.269",$125.503,"$5,616.178","$7,010.539",$629.808,"$3,589.41",$127.972,"$4,234.695","$4,864.503",$0.035,$558.018,$-21.453,-,"$2,146.036","$7,010.539"
2009-03-31,"$1,075.337",$45.251,$103.154,$69.15,$60.352,"$1,409.33","$2,993.108",$4.612,"$2,439.657",$124.502,"$5,561.879","$6,971.209",$661.019,"$3,591.105",$140.767,"$4,218.731","$4,879.75",$0.035,$531.822,$-32.915,-,"$2,091.459","$6,971.209"
2008-12-31,$697.951,$34.666,$155.955,$56.347,$47.417,"$1,043.884","$2,847.751",$5.986,"$2,423.074",$101.453,"$5,378.264","$6,422.148",$742.356,"$3,057.983",$135.262,"$3,645.469","$4,387.825",$0.035,$487.849,$-32.533,-,"$2,034.323","$6,422.148"
