,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2017-12-31,"$41,711","$5,832",-,"$1,020",-,"$48,563","$13,721",-,"$20,105","$2,135","$35,961","$84,524","$3,760",-,"$6,417","$6,417","$10,177",-,"$33,990",$-227,-,"$74,347","$84,524"
2017-09-30,"$38,289","$4,424",-,"$1,490",-,"$44,203","$12,158",-,"$20,263","$2,374","$34,795","$78,998","$3,305",-,"$4,485","$4,485","$7,790",-,"$31,209",$-200,-,"$71,208","$78,998"
2017-06-30,"$35,452","$3,897",-,"$1,455",-,"$40,804","$10,628",-,"$20,315","$2,096","$33,039","$73,843","$3,315",-,"$4,047","$4,047","$7,362",-,"$27,560",$-370,-,"$66,481","$73,843"
2017-03-31,"$32,306","$3,415",-,"$1,209",-,"$36,930","$9,462",-,"$20,486","$1,836","$31,784","$68,714","$2,928",-,"$3,598","$3,598","$6,526",-,"$24,175",$-626,-,"$62,188","$68,714"
2016-12-31,"$29,449","$3,993",-,$959,-,"$34,401","$8,591",-,"$20,657","$1,312","$30,560","$64,961","$2,875",-,"$2,892","$2,892","$5,767",-,"$21,670",$-703,-,"$59,194","$64,961"
2016-09-30,"$26,140","$3,070",-,"$1,118",-,"$30,328","$7,899",-,"$20,787",$660,"$29,346","$59,674","$2,595",-,"$2,964","$2,964","$5,559",-,"$15,731",$-372,-,"$54,115","$59,674"
2016-06-30,"$23,293","$2,801",-,$916,-,"$27,010","$7,104",-,"$20,922",$703,"$28,729","$55,739","$2,211",-,"$3,145","$3,145","$5,356",-,"$13,352",$-374,-,"$50,383","$55,739"
2016-03-31,"$20,621","$2,348",-,$843,-,"$23,812","$6,467",-,"$21,096",$700,"$28,263","$52,075","$1,809",-,"$3,116","$3,116","$4,925",-,"$11,297",$-276,-,"$47,150","$52,075"
2015-12-31,"$18,434","$2,559",-,$659,-,"$21,652","$5,687",-,"$21,272",$796,"$27,755","$49,407","$1,925",$107,"$3,157","$3,264","$5,189",-,"$9,787",$-455,-,"$44,218","$49,407"
2015-09-30,"$15,834","$2,010",-,"$1,295",-,"$19,139","$5,335",-,"$21,461",$534,"$27,330","$46,469","$1,792",$109,"$3,148","$3,257","$5,049",-,"$8,226",$-380,-,"$41,420","$46,469"
2015-06-30,"$14,125","$1,815",-,"$1,011",-,"$16,951","$4,955",-,"$21,630",$594,"$27,179","$44,130","$1,881",$110,"$2,687","$2,797","$4,678",-,"$7,330",$-357,-,"$39,452","$44,130"
2015-03-31,"$12,413","$1,508",-,"$1,083",-,"$15,004","$4,619",-,"$21,779",$605,"$27,003","$42,007","$1,746",$113,"$2,647","$2,760","$4,506",-,"$6,611",$-447,-,"$37,501","$42,007"
2014-12-31,"$11,199","$1,678",-,$513,-,"$13,390","$3,967",-,"$21,910",$699,"$26,576","$39,966","$1,424",$119,"$2,327","$2,446","$3,870",-,"$6,099",$-228,-,"$36,096","$39,966"
