,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2016-09-30,$18,$592,$551,-,$423,"$1,599","$19,647",-,$411,$566,"$22,535","$24,134","$2,291","$6,607","$2,610","$14,508","$16,799",$2,"$1,643",$-2,-,"$7,335","$24,134"
2016-06-30,$13,$510,$515,-,$542,"$1,594","$19,324",-,$411,$552,"$22,199","$23,793","$2,430","$6,605","$2,582","$14,299","$16,729",$2,"$1,376",$-1,-,"$7,064","$23,793"
2016-03-31,$13,$484,$483,-,$464,"$1,458","$19,000",-,$411,$573,"$21,927","$23,385","$1,839","$6,881","$2,556","$14,535","$16,374",$2,"$1,333",$-5,-,"$7,011","$23,385"
2015-12-31,$292,$486,$538,-,$587,"$1,917","$18,799",-,$411,$575,"$21,723","$23,640","$2,093","$6,880","$2,523","$14,459","$16,552",$2,"$1,331",$-3,-,"$7,088","$23,640"
2015-09-30,$72,$621,$548,-,$500,"$1,983","$18,307",-,$411,$646,"$21,476","$23,459","$2,489","$5,981","$2,491","$13,814","$16,303",$2,"$1,405",$-5,-,"$7,156","$23,459"
2015-06-30,$2,$568,$500,-,$620,"$1,991","$17,986",-,$411,$649,"$21,161","$23,152","$2,556","$5,981","$2,501","$13,690","$16,246",$2,"$1,161",$-5,-,"$6,906","$23,152"
2015-03-31,$6,$624,$449,-,$568,"$1,993","$17,700",-,$411,$645,"$20,891","$22,884","$2,520","$5,860","$2,397","$13,518","$16,038",$2,"$1,111",$-9,-,"$6,846","$22,884"
2014-12-31,$5,$504,$524,-,$646,"$1,694","$17,424",-,$411,$629,"$20,595","$22,289","$2,249","$6,085","$2,246","$13,185","$15,434",$2,"$1,103",$-9,-,"$6,855","$22,289"
2014-09-30,$13,$584,$561,-,$468,"$1,942","$16,991",-,$431,$724,"$19,934","$21,876","$2,119","$5,825","$2,190","$12,841","$14,960",$2,"$1,154",$6,-,"$6,916","$21,876"
2014-06-30,$46,$667,$491,-,$569,"$1,965","$16,726",-,$430,$731,"$19,623","$21,588","$2,312","$5,825","$2,164","$12,562","$14,874",$2,$957,$6,-,"$6,714","$21,588"
2014-03-31,$26,$754,$424,-,$526,"$1,840","$16,425",-,$428,$719,"$19,326","$21,166","$2,725","$5,226","$2,124","$11,786","$14,511",$2,$906,$3,-,"$6,655","$21,166"
2013-12-31,$30,$600,$526,-,$545,"$1,972","$16,205",-,$411,$720,"$19,070","$21,042","$2,461","$5,504","$2,074","$11,895","$14,356",$2,$907,$3,-,"$6,686","$21,042"
2013-09-30,$169,$578,$581,-,$507,"$3,273","$15,834",-,$430,$660,"$19,112","$22,385","$3,228","$5,274","$2,095","$12,432","$15,660",$2,$967,$-19,-,"$6,725","$22,385"
2013-06-30,$150,$500,$511,-,$604,"$3,408","$15,601",-,$429,$654,"$18,868","$22,276","$3,286","$5,274","$2,051","$12,465","$15,751",$2,$762,$-9,-,"$6,525","$22,276"
2013-03-31,$161,$549,$461,-,$545,"$3,296","$15,408",-,$427,$665,"$18,656","$21,952","$2,577","$5,803","$2,047","$12,859","$15,436",$2,$764,$-15,-,"$6,516","$21,952"
2012-12-31,$184,$425,$570,-,$636,"$3,596","$15,348",-,$425,$667,"$18,634","$22,230","$2,686","$5,802","$1,938","$12,777","$15,463",$2,"$1,006",$-8,-,"$6,767","$22,230"
2012-09-30,$298,$605,$756,-,$747,"$2,406","$17,833",-,$425,$772,"$21,092","$23,498","$1,546","$6,781","$1,971","$13,926","$15,472",$2,"$2,259",$2,-,"$8,026","$23,498"
2012-06-30,$117,$486,$686,-,$865,"$2,154","$17,690",-,$423,$776,"$20,826","$22,980","$1,603","$6,678","$1,910","$13,677","$15,280",$2,"$1,983",$-30,-,"$7,700","$22,980"
2012-03-31,$208,$511,$625,-,$780,"$2,124","$17,535",-,$420,$773,"$20,775","$22,899","$1,614","$6,677","$1,917","$13,706","$15,320",$2,"$1,869",$-35,-,"$7,579","$22,899"
2011-12-31,$255,$542,$712,-,$766,"$2,295","$18,127",-,$418,$845,"$21,350","$23,645","$1,785","$6,677","$1,930","$13,792","$15,577",$2,"$2,369",$-50,-,"$8,068","$23,645"
2011-09-30,$522,$722,$734,-,$702,"$2,680","$17,873",-,$417,$843,"$20,676","$23,356","$1,848","$6,682","$1,903","$13,356","$15,204",$2,"$2,440",$-25,-,"$8,152","$23,356"
2011-06-30,$378,$756,$654,-,$815,"$2,603","$17,945",-,$415,$848,"$20,788","$23,391","$1,727","$7,054","$1,911","$13,721","$15,448",$2,"$2,248",$-21,-,"$7,943","$23,391"
2011-03-31,$573,$808,$572,-,$762,"$2,715","$17,888",-,$418,$738,"$20,614","$23,329","$1,837","$7,123","$1,853","$13,612","$15,449",$2,"$2,203",$-20,-,"$7,880","$23,329"
2010-12-31,$545,$727,$707,-,$911,"$2,890","$17,853",-,$418,$750,"$20,621","$23,511","$1,888","$7,313","$1,794","$13,739","$15,627",$2,"$2,225",$-17,-,"$7,884","$23,511"
2010-09-30,$608,$891,$746,-,$875,"$3,120","$17,655",-,$420,$699,"$20,511","$23,631","$1,914","$7,259","$1,821","$13,808","$15,722",$2,"$2,266",$-10,-,"$7,909","$23,631"
2010-06-30,$506,$674,$676,-,$974,"$2,830","$17,747",-,$944,$664,"$21,085","$23,915","$1,760","$7,653","$1,811","$13,955","$15,715",$2,"$2,526",$-13,-,"$8,200","$23,915"
2010-03-31,$360,$819,$635,-,$844,"$2,658","$17,671",-,$955,$670,"$21,030","$23,688","$1,640","$7,743","$1,775","$13,938","$15,578",$2,"$2,466",$-4,-,"$8,110","$23,688"
2009-12-31,$622,$742,$782,-,$696,"$2,842","$17,610",-,$960,$655,"$20,860","$23,702","$1,711","$7,941","$1,686","$13,931","$15,642",$2,"$2,455",$-13,-,"$8,060","$23,702"
2009-09-30,$563,$598,$857,-,$762,"$2,780","$17,272",-,$969,$652,"$20,814","$23,594","$1,926","$7,321","$1,745","$13,622","$15,548",$2,"$2,467",$-21,-,"$8,046","$23,594"
2009-06-30,$251,$787,$733,-,$893,"$2,664","$17,006",-,$981,$674,"$20,526","$23,190","$2,545","$7,321","$1,725","$13,291","$15,836",$2,"$2,323",$-13,-,"$7,354","$23,190"
2009-03-31,$304,$872,$657,-,$924,"$2,757","$16,781",-,$991,$637,"$20,314","$23,071","$2,881","$6,900","$1,708","$12,917","$15,798",$2,"$2,241",$6,-,"$7,273","$23,071"
2008-12-31,$92,$831,$842,-,$843,"$2,608","$16,567",-,$998,$606,"$20,063","$22,671","$3,077","$6,554","$1,697","$12,415","$15,492",$2,"$2,181",-,-,"$7,179","$22,671"
2008-09-30,$206,$797,$956,-,$588,"$2,547","$15,977",-,$998,$566,"$18,932","$21,479","$2,918","$6,143","$1,874","$11,518","$14,436",$2,"$2,259",$51,-,"$7,043","$21,479"
2008-06-30,$205,$905,$719,-,$937,"$2,766","$15,566",-,"$1,008",$940,"$18,879","$21,645","$3,078","$6,146","$2,013","$11,750","$14,828",$2,"$2,188",$-66,-,"$6,817","$21,645"
2008-03-31,$186,$971,$556,-,$590,"$2,303","$15,294",-,"$1,020",$701,"$18,455","$20,758","$3,510","$5,066","$1,897","$10,494","$14,004",$2,"$2,115",$-19,-,"$6,754","$20,758"
2007-12-31,$355,$832,$735,-,$540,"$2,462","$15,069",-,"$1,029",$703,"$18,266","$20,728","$2,904","$5,689","$1,802","$11,072","$13,976",$2,"$2,110",$36,-,"$6,752","$20,728"
2007-09-30,$170,$949,$757,-,$465,"$2,341","$14,729",-,"$1,028",$683,"$18,064","$20,405","$2,504","$5,486","$1,812","$11,145","$13,649",$2,"$2,134",$41,-,"$6,756","$20,405"
2007-06-30,$687,$784,$612,-,$482,"$2,565","$14,538",$13,"$1,037",$730,"$17,966","$20,531","$2,820","$5,511","$1,780","$11,093","$13,913",$2,"$2,023",$42,-,"$6,618","$20,531"
2007-03-31,$161,$864,$489,-,$346,"$1,860","$14,353",$13,"$1,041",$650,"$17,766","$19,626","$2,249","$5,260","$1,742","$10,820","$13,069",$2,"$2,011",$23,-,"$6,557","$19,626"
2006-12-31,$137,$578,$647,-,$512,"$1,874","$14,286",-,"$1,048",$654,"$17,761","$19,635","$2,203","$5,285","$1,726","$10,849","$13,052",$2,"$2,024",$62,-,"$6,583","$19,635"
2006-09-30,$34,$579,$710,-,$414,"$1,737","$14,028",$31,"$1,204",$753,"$17,093","$18,830","$1,840","$5,349","$1,743","$10,442","$12,282",$2,"$2,094",$-23,-,"$6,548","$18,830"
2006-06-30,$51,$480,$549,-,$465,"$1,545","$13,920",$32,"$1,226",$643,"$16,905","$18,450","$1,408","$5,705","$1,704","$10,693","$12,101",$2,"$1,932",$-36,-,"$6,349","$18,450"
2006-03-31,$29,$609,$423,-,$402,"$1,463","$13,854",$50,"$1,240",$627,"$16,851","$18,314","$1,499","$5,508","$1,675","$10,501","$12,000",$2,"$1,939",$-44,-,"$6,314","$18,314"
2005-12-31,$96,$583,$572,-,$567,"$1,818","$13,581",$50,"$1,299",$342,"$16,353","$18,171","$1,487","$5,354","$1,659","$10,320","$11,807",$2,"$1,999",$-24,-,"$6,364","$18,171"
2005-09-30,$278,$501,$840,-,$364,"$1,983","$13,402",$124,$957,$496,"$16,107","$18,090","$1,396","$5,201","$1,623","$10,238","$11,634",$2,"$2,109",$-17,-,"$6,456","$18,090"
2005-06-30,$27,$441,$649,-,$448,"$1,565","$13,397",$135,$934,$411,"$15,926","$17,491","$1,380","$4,929","$1,519","$9,847","$11,227",$2,"$1,959",$-30,-,"$6,264","$17,491"
2005-03-31,$30,$545,$563,-,$300,"$1,438","$13,332",$136,$927,$449,"$15,895","$17,333","$1,675","$4,982","$1,501","$9,820","$11,495",$2,"$1,903",$-28,-,"$5,838","$17,333"
