,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-12-31,"$3,275","$3,394","$1,170",$272,-,"$8,635","$4,868",-,"$14,390","$1,049","$21,617","$30,252","$6,985","$4,191","$1,515","$10,580","$17,565",$307,"$6,737","$-3,014",-,"$12,687","$30,252"
2009-09-30,"$1,924","$3,951","$1,243",$453,-,"$8,084","$4,775",-,"$15,425",$988,"$22,761","$30,845","$7,270","$4,194","$1,603","$11,146","$18,416",$315,"$6,457","$-3,404",-,"$12,429","$30,845"
2009-06-30,"$1,056","$4,251","$1,099",$363,-,"$7,256","$4,778",-,"$15,461",$947,"$22,892","$30,148","$7,243","$3,348","$1,552","$10,716","$17,959",$319,"$6,104","$-3,477",-,"$12,189","$30,148"
2009-03-31,$882,"$4,416","$1,178",$256,-,"$7,252","$4,777",-,"$15,445",$921,"$22,890","$30,142","$7,509","$3,352","$1,503","$10,576","$18,085",$325,"$5,846","$-3,596",-,"$12,057","$30,142"
2008-12-31,"$1,504","$3,701","$1,003",$219,-,"$8,243","$4,785",-,"$14,456",$926,"$21,954","$30,197","$7,449","$3,443","$1,562","$10,828","$18,277",$327,"$5,590","$-3,642",-,"$11,920","$30,197"
2008-09-30,"$1,016","$3,957","$1,147",$408,-,"$7,009","$4,675",-,"$18,439",$983,"$26,245","$33,254","$6,812","$3,843","$1,934","$8,879","$15,691",$327,"$8,253",$-685,-,"$17,563","$33,254"
2008-06-30,$581,"$4,325","$1,089",$596,-,"$7,094","$4,651",-,"$18,578","$1,019","$26,373","$33,467","$6,591","$3,844","$2,076","$9,013","$15,604",$337,"$7,877",$-686,-,"$17,863","$33,467"
2008-03-31,$429,"$4,358","$1,132",$501,-,"$6,949","$4,645",-,"$18,640","$1,038","$26,426","$33,375","$6,737","$3,928","$2,004","$9,037","$15,774",$339,"$7,518",$-694,-,"$17,601","$33,375"
2007-12-31,$963,"$3,790","$1,000",$502,-,"$6,797","$4,690",-,"$18,746",$995,"$26,576","$33,373","$6,432","$3,918","$1,978","$9,254","$15,686",$338,"$7,387",$-699,-,"$17,687","$33,373"
2007-09-30,$713,"$3,666","$1,102",$282,-,"$6,454","$4,539",-,"$18,767","$1,106","$25,769","$32,223","$6,200","$3,886","$1,637","$9,258","$15,458",$338,"$7,063","$-1,279",-,"$16,765","$32,223"
2007-06-30,$521,"$3,685","$1,157",$244,-,"$6,261","$4,539",-,"$18,778","$1,152","$25,767","$32,028","$6,122","$3,875","$1,565","$9,126","$15,248",$344,"$6,703","$-1,287",-,"$16,780","$32,028"
2007-03-31,$362,"$3,749","$1,195",$235,-,"$6,209","$4,544",-,"$18,843","$1,098","$25,836","$32,045","$6,538","$3,992","$1,476","$9,163","$15,701",$343,"$6,374","$-1,296",-,"$16,344","$32,045"
2006-12-31,"$1,015","$3,562","$1,176",$266,-,"$6,725","$4,525",-,"$18,358","$1,052","$25,284","$32,009","$6,753","$3,992",$997,"$8,641","$15,394",$346,"$6,183","$-1,260",-,"$16,615","$32,009"
2006-09-30,"$1,463","$3,690","$1,275",$265,-,"$7,439","$4,437",-,"$18,494",$801,"$26,616","$34,055","$7,237","$3,796",$943,"$9,488","$16,725",$345,"$5,837",$-126,-,"$17,330","$34,055"
2006-06-30,$751,"$3,907","$1,296",$317,-,"$7,045","$4,403",-,"$18,580",$760,"$26,631","$33,676","$7,138","$3,821",$916,"$9,492","$16,630",$344,"$5,642",$-125,-,"$17,046","$33,676"
2006-03-31,$373,"$4,144","$1,294",$251,-,"$6,845","$4,404",-,"$18,614",$751,"$26,672","$33,517","$7,334","$3,872",$914,"$9,564","$16,898",$343,"$5,318",$-143,-,"$16,619","$33,517"
2005-12-31,"$1,605","$3,553","$1,164",$446,-,"$7,551","$4,403",-,"$18,656",$679,"$26,663","$34,214","$7,974","$3,881",$885,"$9,412","$17,386",$347,"$5,055",$-145,-,"$16,828","$34,214"
2005-09-30,"$1,712","$3,519","$1,262",$357,-,"$7,364","$4,190",-,"$18,736",$658,"$26,487","$33,851","$6,870","$4,569",$746,"$10,032","$16,902",$355,"$4,815",$-132,-,"$16,949","$33,851"
2005-06-30,"$1,215","$3,542","$1,185",$232,-,"$6,922","$4,204",-,"$18,782",$645,"$26,524","$33,446","$6,558","$4,581",$742,"$10,030","$16,588",$358,"$4,614",$-136,-,"$16,858","$33,446"
2005-03-31,$784,"$3,611","$1,205",$209,-,"$6,577","$4,204",-,"$18,868",$634,"$26,619","$33,196","$6,473","$4,664",$752,"$10,050","$16,523",$359,"$4,341",$-129,-,"$16,673","$33,196"
