,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-03-31,"$7,079","$3,139","$2,298","$2,198",-,"$14,714","$8,425","$5,757","$12,414","$1,793","$28,389","$43,103","$13,169","$5,017","$2,944","$8,826","$21,995",$880,"$38,911","$-2,893",-,"$21,108","$43,103"
2008-12-31,"$4,979","$3,090","$2,187","$1,920",-,"$12,176","$8,326","$5,779","$12,505","$1,733","$28,343","$40,519","$12,988","$2,781","$3,011","$6,669","$19,657",$880,"$38,513","$-2,674",-,"$20,862","$40,519"
2008-09-30,"$8,084","$3,674","$2,321","$2,741",-,"$16,820","$8,527","$7,421","$12,787","$2,625","$31,360","$48,180","$16,587","$2,877","$2,803","$7,848","$24,435",$880,"$38,397",$759,-,"$23,745","$48,180"
2008-06-30,"$6,857","$4,073","$2,531","$2,628",-,"$16,089","$8,712","$7,367","$12,929","$2,634","$31,642","$47,731","$16,620","$2,874","$3,267","$7,929","$24,549",$880,"$37,386","$1,352",-,"$23,182","$47,731"
2008-03-31,"$6,420","$3,500","$2,447","$2,521",-,"$14,888","$8,675","$8,122","$12,617","$2,702","$32,116","$47,004","$15,588","$3,259","$3,287","$8,384","$23,972",$880,"$36,843","$1,199",-,"$23,032","$47,004"
2007-12-31,"$4,308","$3,317","$2,220","$2,260",-,"$12,105","$8,493","$7,777","$12,219","$2,675","$31,164","$43,269","$13,225","$3,277","$3,133","$8,300","$21,525",$880,"$36,235",$626,-,"$21,744","$43,269"
2007-09-30,"$4,811","$3,116","$2,048","$2,120",-,"$12,095","$8,003","$7,106","$11,832","$2,634","$29,575","$41,670","$15,566","$1,594","$3,438","$6,435","$22,001",$880,"$35,809",$-470,-,"$19,669","$41,670"
2007-06-30,"$4,541","$3,315","$2,086","$1,970",-,"$11,912","$7,579","$6,832","$11,010","$2,656","$28,077","$39,989","$15,248","$1,599","$2,863","$5,769","$21,017",$880,"$34,941",$-473,-,"$18,972","$39,989"
2007-03-31,"$3,783","$2,781","$1,909","$2,014",-,"$10,487","$7,333","$6,507","$5,997","$2,796","$22,633","$33,120","$11,252","$1,454","$2,687","$4,657","$15,909",$878,"$33,877",$-897,-,"$17,211","$33,120"
2006-12-31,"$2,590","$2,587","$1,641","$1,623",-,"$8,441","$6,903","$6,783","$5,135","$2,701","$21,522","$29,963","$8,890","$1,314","$2,231","$4,153","$13,043",$878,"$33,468","$-1,291",-,"$16,920","$29,963"
2006-09-30,"$3,523","$2,489","$1,592","$1,756",-,"$9,360","$6,728","$7,395","$5,101","$2,719","$21,943","$31,303","$9,234","$1,242","$2,095","$4,069","$13,303",$877,"$33,514","$-1,307",-,"$18,000","$31,303"
2006-06-30,"$4,130","$2,593","$1,624","$1,706",-,"$10,053","$6,254","$7,136","$4,203","$2,704","$20,297","$30,350","$9,812","$1,140","$1,786","$3,416","$13,228",$877,"$32,780","$-1,377",-,"$17,122","$30,350"
2006-03-31,"$4,492","$2,237","$1,549","$1,832",-,"$10,110","$5,936","$6,966","$4,113","$2,686","$19,701","$29,811","$10,115","$1,152","$1,731","$3,290","$13,405",$877,"$31,672","$-1,577",-,"$16,406","$29,811"
2005-12-31,"$4,767","$2,281","$1,379","$1,778",-,"$10,205","$5,831","$6,922","$3,821","$2,648","$19,222","$29,427","$9,836","$1,154","$1,730","$3,236","$13,072",$877,"$31,299","$-1,669",-,"$16,355","$29,427"
2005-09-30,"$5,062","$2,217","$1,431","$1,810",-,"$10,520","$5,877","$6,859","$3,887","$2,740","$19,363","$29,883","$8,956","$1,121","$2,743","$4,401","$13,357",$876,"$31,100","$-1,589",-,"$16,526","$29,883"
2005-06-30,"$5,011","$2,349","$1,476","$1,757",-,"$10,593","$5,830","$6,710","$3,771","$2,774","$19,085","$29,678","$8,830","$1,110","$2,835","$4,505","$13,335",$875,"$30,485","$-1,546",-,"$16,343","$29,678"
2005-03-31,"$7,026","$2,115","$1,511","$1,634",-,"$12,286","$6,063","$6,444","$3,842","$2,979","$19,328","$31,614","$10,636","$1,141","$2,841","$4,467","$15,103",$875,"$29,432","$-1,209",-,"$16,511","$31,614"
