,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2013-12-31,0.9621,0.3832,0.8096,2.3588,0.5471,0.5471,-,0.4846,0.1418,1.4738,3.3115,4.6951,19.1689,2.1768,-3.9034,0.2472,1.3426,9.7521,-4.2346,-4.4843
2013-09-30,0.9679,0.3758,0.6021,2.3195,0.4666,0.4666,-,0.3953,0.2085,1.2934,3.4236,4.0432,22.2597,2.1796,-4.285,0.2673,1.3605,10.0861,-0.1267,-0.4016
2013-06-30,0.9757,0.3661,0.5775,2.5675,0.6146,0.6146,-,0.5292,0.7689,1.3213,3.6207,4.7774,18.8388,2.6512,-5.9,0.3867,1.6806,10.4777,0.3054,0.0969
2013-03-31,0.9736,0.3731,0.5951,3.4935,1.7059,1.7059,-,1.6121,0.2223,1.2739,3.4978,4.9094,18.332,8.7007,-17.5122,1.2671,5.4546,10.1621,4.1943,4.056
2012-12-31,0.9638,0.374,0.5973,3.1379,1.4219,1.4219,-,1.334,0.8006,1.3591,3.4195,4.8288,18.6381,7.4713,-14.4112,1.1269,4.6773,10.1654,-1.0242,-1.2627
2012-09-30,0.9816,0.3625,0.5686,3.7535,1.7122,1.7122,-,1.5951,0.8727,1.2131,3.295,4.95,18.182,7.8247,-17.9754,1.2439,4.9882,10.4287,2.1093,1.9536
2012-06-30,1.02,0.3362,0.6403,3.4556,1.6784,1.6784,-,1.5802,0.9379,1.2273,3.4255,4.9011,18.3632,6.4913,-28.9491,1.2077,4.309,11.6631,0.4256,0.3044
2012-03-31,1.0631,0.3358,0.6388,3.449,1.9132,1.9132,-,1.7953,1.0762,1.2597,3.5539,5.0944,17.6665,7.4375,-135.3216,1.4007,4.9396,11.5357,0.9057,0.8367
2011-12-31,1.0579,0.3378,0.6641,2.8748,1.3855,1.3855,-,1.2743,0.7981,1.2712,3.3872,5.4537,16.5027,5.507,-80.6185,1.0011,3.6465,11.241,1.6409,1.4679
2011-09-30,1.046,0.2534,0.4761,2.8478,1.2197,1.2197,-,1.1325,0.7801,1.2605,3.3709,4.978,18.0796,4.8204,226.0399,0.9224,3.5991,10.9845,1.3102,1.2079
2011-06-30,1.1113,0.2983,0.4252,3.2418,1.5731,1.5731,-,1.4805,0.9147,1.3571,3.7821,5.1601,17.4416,5.7576,51.349,1.2414,4.0399,11.7739,0.8321,0.7105
2011-03-31,1.1011,0.3,0.4286,3.4784,1.8484,1.8484,-,1.7527,1.0849,1.346,3.6707,5.197,17.3177,6.8426,74.7443,1.4603,4.79,11.4502,2.4166,2.2599
2010-12-31,1.0817,0.303,0.4736,2.9174,1.3916,1.3916,-,1.3037,0.807,1.4073,3.5488,5.6004,16.0704,5.4186,137.6704,1.1357,3.777,10.822,-0.3534,-0.5319
2010-09-30,1.085,0.3125,0.4548,2.8726,1.2103,1.2103,-,1.1065,0.7228,1.3535,3.6423,5.1046,17.6311,4.5453,123.2467,0.9303,3.1247,10.6453,1.9083,1.7564
2010-06-30,1.0897,0.3169,0.464,3.0016,1.4379,1.4379,-,1.3441,0.8326,1.3998,3.7307,5.0419,17.8503,5.5679,192.245,1.1654,3.8035,10.4245,0.7449,0.59
2010-03-31,1.0786,0.3242,0.4799,3.1712,1.6125,1.6125,-,1.5112,0.9378,1.3963,3.752,4.8881,18.412,6.3917,-796.7254,1.3095,4.3196,10.0573,1.3494,1.189
2009-12-31,1.0728,0.3341,0.502,2.9136,1.357,1.357,-,1.2662,0.7825,1.4263,3.5011,5.4607,16.4814,5.5204,-130.0105,1.1161,3.676,9.6569,-0.1431,-0.2893
2009-09-30,1.05,0.3023,0.4337,2.8774,1.2001,1.2001,-,1.1189,0.6954,1.3789,3.6554,4.7788,18.8333,4.791,-91.2715,0.9589,3.3428,9.4347,1.1568,1.0154
2009-06-30,1.0642,0.2995,0.4277,2.8228,1.1579,1.1579,-,1.0773,0.6459,1.4443,4.0402,4.9094,18.3321,4.4942,-175.1483,0.9825,3.1484,9.3727,1.3256,1.2107
2009-03-31,1.0622,0.2959,0.4205,3.1913,1.4341,1.4341,-,1.3473,0.8283,1.3794,3.66,4.6359,19.4137,5.2214,-167.3221,1.1478,3.6764,9.1366,1.0877,0.9991
2008-12-31,1.0588,0.3038,0.4369,2.8252,1.1413,1.1413,-,1.057,0.6405,1.3803,3.3943,4.901,18.3635,4.1435,-82.2577,0.8958,2.8845,8.8576,-0.9813,-1.1178
2008-09-30,1.0615,0.3047,0.4388,3.0741,1.1814,1.1814,-,1.0943,0.6697,1.4043,3.9485,4.93,18.2554,4.2458,-69.5991,0.9418,2.9522,8.6741,1.5766,1.4054
2008-06-30,1.0732,0.3113,0.4527,2.7674,1.0976,1.0976,-,1.0046,-0.6002,1.5012,4.2511,4.9076,18.3388,4.1397,-38.1787,0.9406,2.8511,8.5731,0.4093,0.3326
2008-03-31,1.0697,0.2934,0.4157,3.026,1.3235,1.3235,-,1.2238,0.7538,1.4122,3.8026,4.8672,18.4913,4.506,-46.2296,1.0565,3.1841,9.1422,0.585,0.4979
2007-12-31,1.0634,0.3023,0.4339,2.8023,1.1149,1.1149,-,1.0156,0.6356,1.3701,3.4828,4.9918,18.0296,3.7574,-29.7833,0.8596,2.6214,8.8757,-0.3024,-0.3807
2007-09-30,1.1365,0.2836,0.396,2.7792,0.9703,0.9703,-,0.9272,0.5443,1.3071,3.8174,4.7105,19.1061,3.137,27.2809,0.7899,2.2474,9.145,0.3405,0.246
2007-06-30,1.167,0.2451,0.3248,3.4924,1.2412,1.2412,-,1.181,0.7948,1.2678,3.8201,4.6052,19.5431,3.3696,24.0329,0.9765,2.5437,10.3311,1.021,0.9797
2007-03-31,1.2056,0.2265,0.2931,3.6726,1.3377,1.3377,-,1.2756,0.7842,1.2153,3.4562,4.5443,19.8052,3.1625,14.2571,0.9531,2.4462,10.7523,1.1148,1.0429
2006-12-31,1.1983,0.2351,0.3077,3.5553,1.2487,1.2487,-,1.1997,0.7305,1.2823,3.4851,4.8864,18.4184,3.1018,16.3588,0.9368,2.3725,10.3976,0.7382,0.6712
2006-09-30,1.2348,0.209,0.2645,3.1162,0.9147,0.9147,-,0.9163,0.7997,1.1931,3.3417,4.4504,20.2227,2.1354,8.2077,0.6917,1.6892,10.5453,-0.1877,-0.2514
2006-06-30,1.2506,0.2037,0.2564,3.552,1.2039,1.2039,-,1.207,0.7616,1.2191,3.3837,4.9852,18.0536,2.8241,10.1207,0.9285,2.2488,10.511,0.4666,0.523
2006-03-31,1.2906,0.1944,0.2419,3.6842,1.3004,1.3004,-,1.2904,0.8475,1.1908,3.3671,5.0901,17.6816,2.8789,9.091,1.0061,2.3194,10.6607,1.1189,1.0381
2005-12-31,1.2899,0.1958,0.2437,3.6059,1.137,1.137,-,1.0872,0.6638,1.1652,2.8407,5.5009,16.361,2.2681,6.9572,0.7791,1.8241,10.3608,0.5479,0.486
2005-09-30,1.3198,0.1819,0.2226,3.7488,1.1136,1.1136,-,0.2487,0.1401,1.2229,3.3461,5.2708,17.0752,0.4986,1.5227,0.1875,0.4079,10.2033,0.5474,0.477
2005-06-30,1.2762,0.1698,0.2049,3.6298,1.219,1.219,-,1.1354,0.6852,1.2126,2.9402,5.6339,15.9747,2.3861,7.7273,0.8753,1.9809,10.1137,0.2884,0.1763
2005-03-31,1.2584,0.1706,0.2301,3.804,1.359,1.359,-,1.2518,0.7538,1.1339,2.7443,5.3835,16.7178,2.4439,8.0146,0.8744,2.0268,9.9873,2.7056,2.4261
