,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2011-09-30,1.3319,0.9863,81.3614,43.3686,17.3439,17.3439,-,13.8249,8.8573,0.2764,3.0566,4.3646,20.6202,308.6834,308.6835,2.447,4.2165,0.2316,1.634,1.2079
2011-06-30,1.5094,1.0126,-91.8033,44.1137,19.993,19.993,-,15.6825,9.3244,0.2799,3.5283,4.3208,20.8296,-361.5768,-361.5786,2.6103,4.5381,-0.2076,0.9322,0.5508
2011-03-31,1.1643,1.101,-12.9487,41.395,30.4998,30.4998,-,27.3281,17.0401,0.3136,4.4178,4.352,20.68,-109.3248,-109.3248,5.3433,11.039,-1.1331,1.881,1.362
2010-12-31,1.0165,1.2605,-5.7479,46.5246,15.6984,15.6984,-,12.4558,7.8535,0.3329,3.5169,4.0793,22.0624,-22.2203,-22.2204,2.6147,5.789,-2.5572,1.3545,0.7266
2010-09-30,1.2042,1.2792,-4.5996,41.5664,14.1738,14.1738,-,11.679,7.6367,0.3452,3.585,4.0119,22.4334,-17.2945,-17.2945,2.6362,4.8294,-3.1972,0.9509,0.2831
2010-06-30,1.1742,1.3227,-4.1173,42.3358,16.5921,16.5921,-,13.0546,8.1094,0.3509,3.9306,3.8329,23.4807,-16.2617,-16.2616,2.8456,5.2472,-3.5263,0.8636,0.3826
2010-03-31,1.0879,1.4011,-3.5073,41.302,14.9467,14.9467,-,11.5937,7.5537,0.3519,5.039,4.0713,22.106,-12.4802,-12.4802,2.6576,5.0062,-4.1446,1.6223,0.9064
2009-12-31,1.0574,1.4777,-3.1059,39.3447,11.9793,11.9793,-,9.2207,6.0371,0.3572,6.0727,3.7993,23.6884,-8.5484,-8.5484,2.1555,4.0839,-4.6774,0.664,-0.0292
2009-09-30,1.2155,1.2943,-4.436,37.8934,6.7307,6.7307,-,3.5089,2.7855,0.334,6.4585,3.5273,25.5153,-5.827,-5.827,0.9296,1.7147,-3.0913,1.4435,0.8678
2009-06-30,0.9205,1.4271,-3.3729,40.5286,9.0491,9.0491,-,4.7717,2.1841,0.3996,5.3446,3.4298,26.2404,-4.1725,-4.1725,0.8729,1.782,-3.4018,0.773,0.2927
2009-03-31,0.8596,1.4877,-3.0795,41.4009,19.7762,19.7762,-,17.1956,10.7625,0.4113,4.104,3.6346,24.7619,-18.7581,-18.7038,4.4268,9.148,-3.7408,2.0115,1.4486
2008-12-31,0.704,1.6453,-2.5693,40.2239,17.544,17.544,-,13.3664,7.4147,0.4522,4.0923,3.0131,29.8701,-11.112,-11.112,3.3527,7.1709,-4.3565,0.787,0.1672
2008-09-30,0.6843,1.749,-2.8087,40.705,14.2278,14.2278,-,7.7157,3.1291,0.4092,4.4123,3.7038,24.2992,-4.3153,-4.3044,1.2804,3.232,-4.7634,1.0561,0.3674
2008-06-30,0.8944,1.7234,-3.1046,46.0749,21.2937,21.2937,-,18.1596,11.5227,0.3795,4.682,3.9325,22.8865,-16.0575,-16.0138,4.3732,11.6163,-4.6483,0.9437,0.3769
2008-03-31,0.6617,2.3592,-2.3552,43.9895,17.7601,17.7601,-,14.8513,9.091,0.4143,4.9845,2.9992,30.008,-10.6074,-10.6074,3.7664,14.418,-5.4265,1.9681,1.3884
2007-12-31,1.0047,0.8773,9.5716,44.2898,13.6641,13.6641,-,10.7014,6.0544,0.2866,5.2477,4.1354,21.7634,27.3497,106.6004,1.7353,3.3562,1.4268,1.5735,0.7553
2007-09-30,1.5673,0.9298,13.3393,45.347,14.19,14.19,-,11.8531,7.1459,0.2867,4.4732,3.9891,22.5618,43.4255,68.2085,2.0488,3.0506,1.0275,1.5475,0.8257
