,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2012-12-31,-,0.4449,1.1614,-,-,-,-,35.895,24.1438,0.0141,-,-,-,3.6274,4.3931,0.3723,1.8502,30.175,1.5677,1.5677
2012-09-30,-,0.456,1.1711,-,-,-,-,38.2734,24.0393,0.0143,-,-,-,3.4985,4.2511,0.3659,1.7535,29.5029,2.7825,2.7825
2012-06-30,-,0.4554,1.2113,-,-,-,-,36.3898,22.5922,0.0146,-,-,-,3.4274,4.2601,0.3533,1.7203,28.3254,3.6091,3.6091
2012-03-31,-,0.4691,1.2306,-,-,-,-,33.8476,20.4776,0.0147,-,-,-,3.206,4.0352,0.3239,1.5618,27.6995,2.9797,2.9797
2011-12-31,-,0.4694,1.2312,-,-,-,-,32.6259,20.9426,0.0141,-,-,-,3.2114,4.0785,0.3184,1.5664,26.9233,-4.5373,-4.5373
2011-09-30,-,0.4889,1.3213,-,-,-,-,34.4615,21.5468,0.0137,-,-,-,3.2441,4.124,0.3174,1.5202,26.4109,1.7475,1.7475
2011-06-30,-,0.5088,1.4266,-,-,-,-,32.7421,20.0992,0.0147,-,-,-,3.227,4.2005,0.3232,1.4502,26.1295,2.1296,2.1296
2011-03-31,-,0.5241,1.5069,-,-,-,-,29.7257,19.7031,0.0146,-,-,-,3.0997,4.0969,0.3064,1.3451,25.4567,3.2272,3.2272
2010-12-31,-,0.5511,1.6607,-,-,-,-,27.9114,17.4656,0.0147,-,-,-,2.9304,4.0042,0.2776,1.2262,24.303,-0.7571,-0.7571
2010-09-30,-,0.5659,1.7086,-,-,-,-,29.6976,18.0733,0.0143,-,-,-,2.9443,3.9443,0.2806,1.188,23.8665,1.1201,1.1201
2010-06-30,-,0.6039,1.8967,-,-,-,-,26.7682,16.5355,0.0142,-,-,-,2.7976,3.8218,0.2566,1.0262,23.2057,1.5041,1.5041
2010-03-31,-,0.6285,2.0838,-,-,-,-,24.8232,14.7165,0.0132,-,-,-,2.388,3.3889,0.2125,0.8175,22.697,1.6996,1.6996
2009-12-31,-,0.6406,2.1234,-,-,-,-,23.6072,2.3476,0.0135,-,-,-,2.8458,4.1602,0.2423,0.9468,22.0829,0.9061,0.9061
2009-09-30,-,0.6244,1.9011,-,-,-,-,28.5601,16.1235,0.0133,-,-,-,3.4068,3.7171,0.2699,0.9662,27.5526,1.4,1.4
2009-06-30,-,0.654,2.3471,-,-,-,-,27.1167,14.781,0.0136,-,-,-,3.6146,4.068,0.253,0.9262,26.0022,0.2281,0.2281
2009-03-31,-,0.7007,3.0146,-,-,-,-,28.1973,14.4845,0.0128,-,-,-,4.0835,4.4392,0.2402,0.8636,25.1225,3.7369,3.7369
2008-12-31,-,0.7231,3.6674,-,-,-,-,-462.4395,-292.3524,0.0008,-,-,-,-3.8614,-4.3146,-0.2093,-0.7419,24.196,-5.0747,-5.0747
2008-09-30,-,0.6957,4.1003,-,-,-,-,30.2081,20.7688,0.0127,-,-,-,3.5634,11.9465,0.2653,1.0699,14.1385,-0.184,-0.184
2008-06-30,-,0.6842,3.9627,-,-,-,-,30.812,20.7505,0.0139,-,-,-,3.7446,11.7949,0.2904,1.1646,14.4821,3.9644,3.9644
2008-03-31,-,0.6805,3.2445,-,-,-,-,36.239,23.4212,0.0143,-,-,-,4.2414,10.1559,0.3392,1.3317,14.668,-0.1175,-0.1175
2007-12-31,-,0.676,3.205,-,-,-,-,24.6148,17.6227,0.0134,-,-,-,3.3257,9.073,0.2727,1.0672,14.4454,2.4926,2.4926
2007-09-30,-,0.6677,2.887,-,-,-,-,36.7147,24.2495,0.0163,-,-,-,4.6213,12.8847,0.396,1.5179,14.3046,-1.8264,-1.8264
2007-06-30,-,0.6651,2.8508,-,-,-,-,37.5532,24.8501,0.017,-,-,-,4.8903,14.1509,0.4221,1.6155,14.05,0.6641,0.6641
2007-03-31,-,0.6622,2.2466,-,-,-,-,36.672,25.7163,0.018,-,-,-,4.95,13.5026,0.4618,1.6452,13.751,1.4148,1.4148
2006-12-31,-,0.6554,2.1822,-,-,-,-,36.6179,24.3928,0.018,-,-,-,4.6643,12.7874,0.4396,1.5937,13.5659,1.8304,1.8304
2006-09-30,-,0.6521,2.182,-,-,-,-,38.9376,26.367,0.0172,-,-,-,4.9418,14.0371,0.4538,1.7014,13.3015,0.4274,0.4274
2006-06-30,-,0.6666,2.3243,-,-,-,-,38.0639,24.997,0.0167,-,-,-,5.0525,13.9471,0.4182,1.6625,12.4618,1.0408,1.0408
2006-03-31,-,0.6682,2.5226,-,-,-,-,37.5277,24.8461,0.0165,-,-,-,4.883,11.8923,0.4098,1.5957,12.4972,4.9053,4.9053
2005-12-31,-,0.6621,2.547,-,-,-,-,37.309,24.7785,0.0162,-,-,-,4.7849,11.1162,0.4006,1.6039,12.1186,-1.8237,-1.8237
2005-09-30,-,0.6636,2.5564,-,-,-,-,37.8148,25.1208,0.0173,-,-,-,5.0068,10.7641,0.4355,1.6677,11.8615,-3.4976,-3.4976
2005-06-30,-,0.6784,2.5653,-,-,-,-,38.5508,25.7725,0.017,-,-,-,4.9207,9.4869,0.4391,1.5639,11.6423,0.342,0.342
2005-03-31,-,0.6665,2.6341,-,-,-,-,37.4734,24.7335,0.0172,-,-,-,4.8917,9.8409,0.426,1.6086,11.3681,1.4656,1.4656
