,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2018-06-30,1.2332,0.2698,0.7078,43.5817,19.8384,19.8384,-,17.2352,15.9785,0.2175,1.3928,1.4721,61.1378,8.4988,128.853,3.5095,6.2058,13.4625,1.4672,1.2762
2018-03-31,1.2994,0.2822,0.6079,42.7731,18.4087,18.4087,-,15.4896,11.3465,0.2147,1.2815,1.3965,64.4492,5.728,95.3216,2.4716,4.1113,13.5179,0.7864,0.6312
2017-12-31,1.3165,0.2869,0.6519,42.2956,16.2212,16.2212,-,13.1813,10.2725,0.1922,1.1935,1.3245,67.9481,4.6972,60.2447,1.9841,3.3495,13.2257,0.6979,0.548
2017-09-30,1.6357,0.302,0.5309,41.2852,19.053,19.053,-,15.4453,11.3642,0.2264,1.5354,1.4437,62.3405,5.7241,32.0972,2.5627,3.9955,13.6668,1.3283,1.0545
2017-06-30,1.5929,0.3213,0.6432,41.5449,18.4947,18.4947,-,15.3751,10.2253,0.2082,1.2485,1.3804,65.1993,5.2231,48.8345,2.1596,3.5451,12.535,1.0075,0.8424
2017-03-31,2.5049,0.3214,0.5049,43.5646,19.2781,19.2781,-,15.8086,8.1701,0.2069,1.5154,1.4417,62.4259,4.766,11.647,2.2226,3.2342,12.5035,0.2665,0.1208
2016-12-31,2.1411,0.3298,0.5248,42.444,16.8843,16.8843,-,14.4279,9.6082,0.1841,1.4484,1.3256,67.8918,4.7717,12.276,2.1178,3.1982,12.0274,0.3694,0.2142
2016-09-30,1.2438,0.3472,0.871,43.5656,21.821,21.821,-,17.1414,11.1394,0.1809,1.8369,1.4558,61.8235,6.3796,17.3139,2.2363,4.1649,11.8514,1.4722,1.2476
2016-06-30,1.2275,0.338,0.9154,43.3587,20.1688,20.1688,-,17.8552,13.0376,0.1664,1.0677,0.9153,98.3288,5.6694,-366.6667,2.0424,3.753,12.364,1.1114,0.9706
2016-03-31,1.2116,0.3441,0.942,43.0847,18.5527,18.5527,-,15.4233,10.3101,0.1644,1.0446,0.9239,97.4183,4.8431,-111.6071,1.723,3.1766,12.0371,1.1242,0.9886
2015-12-31,1.1819,0.3503,0.994,42.3734,16.0324,16.0324,-,13.0057,10.4585,0.1548,1.0105,0.8686,103.62,4.095,-53.7653,1.4245,2.6603,11.6576,0.7464,0.5563
