,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2007-05-31,"$2,333",$281,$351,$632,"$-1,555","$-27,989","$-7,886","$5,529","$-31,901","$-28,936",$-446,-,$-576,-,$44,$44,-,$-978,"$11,900","$19,574","$31,474",$-990,$-990,$-207,$759,"$31,036","$1,122",$351,$-207
2007-02-28,"$3,197",$272,$362,$634,$390,"$3,998","$-21,019","$-3,435","$-20,066","$-16,235",$-568,-,$-55,-,$215,$215,-,$-408,"$13,682","$1,893","$15,575","$-2,377","$-2,377",$-212,"$4,251","$17,237",$594,$362,$-212
2006-11-30,"$3,152",$266,"$1,228","$1,494","$1,215","$-9,672","$-4,236","$4,990","$-7,703","$-3,057",$-65,-,$-881,-,"$-5,439","$-5,439",-,"$-6,385","$10,490","$1,348","$11,838","$-3,239","$-3,239",$-211,"$3,151","$11,539","$2,097","$2,733",$-211
2006-08-31,"$1,594",$251,$297,$548,"$4,625","$-31,210","$7,291","$2,037","$-17,257","$-15,115",$-576,-,$-217,-,"$-2,164","$-2,164",-,"$-2,957","$6,381","$5,422","$11,803",$-498,$2,$-203,"$8,811","$20,413","$2,341",$297,$-203
2006-05-31,"$2,312",$259,$281,$540,"$-5,234","$-30,409","$12,050","$6,109","$-17,484","$-14,632",$-384,-,$-293,-,"$1,191","$1,191",-,$514,"$11,261","$2,117","$13,378",$-534,$315,$-192,"$1,768","$15,269","$1,151",$281,$-192
2006-02-28,"$2,479",$219,$343,$562,"$-2,400","$-14,689","$-5,282",$-313,"$-22,684","$-19,643",$-650,-,$-270,-,-,-,-,$-920,"$14,228","$3,938","$18,166","$-1,933","$-1,933",$-148,$788,"$16,873","$-3,690",$343,$-148
2005-11-30,"$1,632",$216,$663,$879,"$2,643","$-3,535","$2,534","$-3,602","$-1,960",$551,$-378,-,$-33,-,$274,$274,-,$-137,"$1,974","$2,061","$4,035","$-2,057","$-1,194",$-126,$237,"$2,952","$3,366","$1,113",$-126
2005-08-31,"$1,617",$210,$223,$433,$650,"$2,743","$-15,428","$4,484","$-7,551","$-5,501",$207,-,$-85,-,-,-,-,$122,"$4,454","$1,340","$5,794","$-1,677","$-1,559",$-131,$128,"$4,232","$-1,147",$223,$-131
2005-05-31,$865,$230,$201,$431,"$-2,314","$-21,960","$20,586",$639,"$-3,049","$-1,753",$-104,-,$79,-,-,-,-,$-25,"$1,841","$2,730","$4,571","$-1,415",$-677,$-126,$521,"$4,289","$2,511",$201,$-126
2005-02-28,"$1,512",$198,$219,$417,$343,$-907,"$-4,739","$-2,336","$-7,639","$-5,710",$-507,-,$-517,-,-,-,-,"$-1,024","$12,568","$-3,898","$8,670",$-816,$-816,$-128,$174,"$7,900","$1,166",$219,$-128
