,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2011-09-30,"$-2,866","$3,004",$297,"$3,301",-,-,-,$-429,$-429,$6,$-175,-,$-360,-,-,-,$-34,$-569,$-358,$322,$-36,$2,$2,$-31,$-10,$-75,$-688,$17,$-31
2011-06-30,$185,$292,$13,$305,-,-,-,$-536,$-536,$-46,$-272,-,$-8,-,-,-,$-54,$-334,$-37,$243,$206,$13,$13,$-31,$6,$194,$-171,$5,$-31
2011-03-31,$175,$283,$77,$360,$170,-,-,$332,$223,$760,$-82,-,$65,-,-,-,$-140,$-157,$-29,$-331,$-360,$-18,$-18,$-31,$-4,$-413,$208,$10,$-31
2010-12-31,$243,$286,$21,$307,-,-,-,$-88,$-88,$462,$-209,-,$-91,-,-,-,$23,$-277,$-23,"$-1,166","$-1,189",$8,$8,$-23,$-12,"$-1,216","$-1,028",$16,$-23
2010-09-30,$193,$294,$-10,$284,-,-,-,$-75,$-75,$402,$-210,-,$-9,-,-,-,$14,$-205,$-29,$1,$-28,$2,$2,$-23,-,$-49,$222,$16,$-23
2010-06-30,$148,$277,$4,$281,-,-,-,$-489,$-489,$-60,$-221,-,$-4,-,-,-,$-28,$-253,$-11,$2,$-9,$16,$16,-,$-5,$2,$-349,$14,-
2010-03-31,$264,$278,$56,$334,$70,-,-,"$1,110",$636,"$1,236",$-126,-,-,-,-,-,$-150,$-276,$-510,$-64,$-574,$20,$20,-,$-47,$-601,$357,$15,-
2009-12-31,$217,$301,$35,$336,-,-,-,$-421,$-421,$132,$-266,-,$2,-,-,-,$36,$-228,$-10,$61,$51,$50,$50,-,$4,$105,$20,$15,-
2009-09-30,$220,$294,$36,$330,-,-,-,$22,$22,$572,$-137,-,$7,-,-,-,$2,$-128,$-8,$1,$-7,$28,$28,-,$2,$23,$487,$16,-
2009-06-30,$133,$283,$-56,$227,-,-,-,$-657,$-657,$-297,$-140,-,-,-,-,-,$-18,$-158,$-9,$-5,$-14,$-1,$-1,-,$1,$-14,$-377,$18,-
2009-03-31,$383,$283,$320,$603,$224,-,-,"$1,029",$110,"$1,058",$-99,-,-,-,-,-,$-101,$-200,$-208,-,$-208,$1,$1,-,$-4,$-211,$624,$7,-
2008-12-31,$163,$306,$129,$435,-,-,-,$-16,$-16,$582,$-225,-,$-37,-,-,-,$-19,$-281,$-8,$674,$666,$-1,$-1,-,$1,$666,$931,$13,-
2008-09-30,$451,$340,$-1,$339,-,-,-,$-388,$-388,$402,$-223,-,$-1,-,-,-,$-4,$-228,$-8,$-12,$-20,$6,$6,-,$2,$-12,$126,$17,-
2008-06-30,$126,$341,$30,$371,-,-,-,$-553,$-553,$-56,$-238,-,$-62,-,-,-,$-29,$-329,$-308,$603,$295,$3,$3,-,$1,$299,$-83,$17,-
2008-03-31,$196.1,$321.6,$-25.6,$296,$-217,-,-,$571.4,$374.4,$844.5,$-275.2,-,$-275.4,-,-,-,$-9.3,$-559.9,$289.3,$52.5,$341.8,$-534.5,$-534.5,-,$10.6,$-182.1,$110,$12.3,-
2007-12-31,$179,$360,$-1.9,$358.1,-,-,-,$53.2,$53.2,$590.3,$-262.2,-,-,-,-,-,$-16.5,$-278.7,$-1.1,$100.2,$99.1,$-312.6,$-312.6,-,$0.6,$-212.9,$98.3,$12.2,-
2007-09-30,$75.8,$308.7,$20.1,$328.8,-,-,-,$-90.7,$-90.7,$313.9,$-288.2,-,"$-1,315.6",-,-,-,$-32.9,"$-1,636.7",$-8.1,$96.2,$88.1,$-120.5,$-120.5,-,$6.6,$-25.8,"$-1,338.6",$12.5,-
2007-06-30,$108.1,$295.7,$5.4,$301.1,-,-,-,$-814.9,$-814.9,$-405.7,$-223.4,-,-,-,-,-,$-20.3,$-243.7,"$1,379.9",$-6.9,"$1,373",$40.6,$40.6,-,$5.2,"$1,418.8",$779.3,$23,-
2007-03-31,$254.2,$253.9,$-201.4,$52.5,$-238.9,-,-,$509.3,$736.4,"$1,041.4",$-175.4,-,$-0.2,-,-,-,$-58.8,$-234.4,$-15,$-507.5,$-522.5,$22.2,$22.2,-,$11.2,$-489.1,$324.1,$58.7,-
2006-12-31,$113.5,$310.3,$-11.7,$298.6,-,-,-,$57.1,$57.1,$469.2,$-229,-,$-131.3,-,-,-,$6.5,$-353.8,$-11,$-114.3,$-125.3,$28.4,$28.4,-,$0.5,$-96.4,$22.8,-,-
2006-09-30,$89.5,$307,$3.2,$310.2,-,-,-,$-119.3,$-119.3,$280.4,$-199.6,-,-,-,-,-,$2.4,$-197.2,$-6.7,$606.7,$600,$-987.9,$-987.9,-,$2.9,$-385,$-304.8,-,-
2006-06-30,$-59.9,$290.8,$-12.2,$278.6,-,-,-,$-431.1,$-431.1,$-212.4,$-236.1,-,-,-,-,-,$148.8,$-87.3,$-8.1,$-6.4,$-14.5,$32.1,$32.1,-,$-2.6,$15,$-282.7,-,-
2006-03-31,$70.3,$283.9,$75.2,$359.1,$-261.6,-,-,$379.2,$332.8,$744.9,$-227.5,-,-,-,-,-,$4.3,$-223.2,$-2.6,$-46.8,$-49.4,$38.6,$38.6,-,$1.8,$-9,$517.5,$32.9,-
2005-12-31,$197.8,$264.9,-,$264.9,-,-,-,$103.2,$103.2,$565.9,$-206.7,-,$-48.6,-,-,-,$-23,$-278.3,$-2.3,$37.1,$34.8,$45.3,$45.3,-,$0.9,$81,$368.6,-,-
2005-09-30,$95.9,$342.4,-,$342.4,-,-,-,$-207.3,$-207.3,$231,$-268,-,$5,-,-,-,$-3.9,$-266.9,$-1.6,$2.5,$0.9,$8.4,$8.4,-,$2.5,$11.8,$-22.7,-,-
2005-06-30,$131.6,$296.3,$-22.9,$273.4,-,-,-,$-395.5,$-395.5,$9.5,$-275.8,-,-,-,-,-,$-79.8,$-355.6,$-2,$-15.2,$-17.2,$-218.9,$-218.9,-,$1.6,$-234.5,$-583,-,-
2005-03-31,$758.1,"$1,145.5",$-29.1,"$1,116.4",$-314.7,-,-,$-177.4,$100.3,"$1,941.5","$-1,060.3",-,$798.6,-,-,-,$-333.7,$-595.4,"$-1,032.6",$22.1,"$-1,010.5",$107.8,$107.8,-,$2.1,$-900.6,$447.5,$18.4,-
