,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2009-12-31,"$-9,010","$1,770","$11,771","$13,541",$491,"$1,918",-,$438,"$2,079","$6,610",$270,-,$620,"$-1,867","$-13,528","$-15,395","$11,134","$-3,371","$7,565","$-11,072","$-3,507",-,-,-,$-487,"$-3,994",$-557,-,-
2009-09-30,$-15,"$10,980","$-5,346","$5,634",$-736,"$2,506",-,"$-3,062","$-1,681","$3,938",$-55,-,"$1,803","$2,047","$-5,607","$-3,560","$3,427","$1,615","$-6,548",-,"$-6,548",-,-,-,$-14,"$-6,562",$-845,-,-
2009-06-30,"$1,845","$4,954","$-1,820","$3,134",$981,"$-3,320",-,"$1,105",$-713,"$4,266",$-114,-,"$2,151","$1,404","$4,407","$5,811","$-1,746","$6,102","$-10,240",-,"$-10,240",-,-,-,"$1,443","$-8,797","$1,773",-,-
2009-03-31,"$-5,133","$4,545","$8,812","$13,357","$1,300",$-111,-,"$-3,882","$-4,454","$3,770",$-101,-,$704,"$-2,966","$4,258","$1,292",$-463,"$1,432","$-5,388",-,"$-5,388",-,-,-,"$-4,256","$-9,644","$-4,613",-,-
2008-12-31,"$-62,556","$9,232","$20,097","$29,329","$2,472","$6,293",-,"$22,332","$32,217","$-1,010","$2,781",-,-,"$-4,195","$1,820","$-2,375","$54,716","$55,122","$-43,228","$-8,912","$-52,140",$-16,"$39,984",$1,"$-51,918","$-64,073","$-9,928",-,$1
2008-09-30,"$-24,705","$5,567","$31,381","$36,948","$-1,201","$3,458",-,"$-25,765","$-27,483","$-15,240",$-563,-,-,"$56,788","$-54,090","$2,698","$12,059","$14,194","$48,666",-,"$48,666",$5,$5,$-593,"$-30,651","$17,427","$16,341",-,$-593
2008-06-30,"$-5,399","$5,150","$12,161","$17,311","$-1,653","$2,300",-,$-405,"$-4,083","$7,829","$-1,744",-,-,"$-61,205","$36,765","$-24,440",$407,"$-25,777","$12,764",-,"$12,764","$7,340","$7,340",$-538,"$-1,865","$17,701",$-260,-,$-538
2008-03-31,"$-7,727","$4,089","$17,757","$21,846","$-5,503","$2,689",-,$-371,"$-5,820","$8,299","$-1,497",-,-,"$6,892","$-4,402","$2,490","$2,644","$3,637","$-6,398",-,"$-6,398",$14,$14,$-498,"$-4,907","$-11,789",$205,-,$-498
2007-12-31,"$-4,004","$3,146","$1,001","$4,147","$4,489","$-4,054",-,"$9,186","$5,100","$5,243","$3,984",-,-,"$87,977","$-142,636","$-54,659","$49,296","$-1,379","$1,256",-,"$1,256","$-6,188","$-6,188",$-509,"$1,570","$-3,871",$35,-,$-509
2007-09-30,"$3,085","$4,580",$671,"$5,251",$126,$-403,-,"$1,127","$1,782","$10,118",$-513,-,-,"$-40,535","$27,598","$-12,937","$-12,098","$-25,548","$10,802",-,"$10,802",$24,$24,$-513,"$5,704","$16,017",$614,-,$-513
