,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2010-06-30,$150,$144,$82,$226,-,-,-,$174,$174,$550,$-59,-,$-5,-,$-10,$-10,-,$-74,$-466,-,$-466,$-10,$-10,$-37,$2,$-511,$-35,$37,$-37
2010-03-31,$-26,$141,$44,$185,-,-,-,$542,$542,$701,$-41,-,$-2,-,$-31,$-31,-,$-74,$-21,-,$-21,$-23,$-23,$-37,$-390,$-471,$156,$33,$-37
2009-12-31,$59.3,$156.1,$267.2,$423.3,$96,$-110,-,$326.5,$-111.5,$371.1,$-76.5,-,$44.4,$-0.4,$-31.5,$-31.9,$0.5,$-63.5,$-6.3,$2.3,$-4,$18.7,$18.7,$-33.5,$-46.1,$-64.9,$242.7,$27.8,$-33.5
2009-09-30,$207.6,$147.4,$85.4,$232.8,$150,-,-,$-417.8,$-267.8,$172.6,$-46.2,-,$47.4,-,$-0.8,$-0.8,$-0.1,$0.3,$-3.9,-,$-3.9,$-2.2,$-2.2,$-34.9,$0.4,$-40.6,$132.3,$41.4,$-34.9
2009-06-30,$15.4,$145.2,$66.8,$212,-,-,-,$189.4,$189.4,$416.8,$-65.1,-,$-1.7,-,$-11.2,$-11.2,$-0.1,$-78.1,$115,$-295.4,$-180.4,$-12.5,$-12.5,$-44.2,$0.3,$-236.8,$101.9,$33.9,$-44.2
2009-03-31,$-55.3,$142.3,$45.6,$187.9,$-300,-,-,$145.9,$-154.1,$-21.5,$-74.2,-,$14.9,$-35.6,$-12.5,$-48.1,$-0.3,$-107.7,$-155.8,$293.1,$137.3,$-4,$-4,$-184.4,$0.4,$-50.7,$-179.9,$32.9,$-184.4
2008-12-31,$136.1,$155.6,$126.4,$282,$-126.8,$243.9,-,$-15.6,$14.7,$432.8,$-124.5,-,$-252.9,$-6.4,$181.4,$175,$3.4,$-199,$-186.7,$-0.3,$-187,$-0.8,$-0.8,$-181.1,$1.5,$-367.4,$-133.6,$27.4,$-181.1
2008-09-30,"$-12,462.2",$139.7,"$12,837.2","$12,976.9",-,-,-,$-423.4,$-423.4,$91.3,$-129.4,-,$-58.4,$10.8,$9.3,$20.1,$1.3,$-166.4,$-4.3,$-1,$-5.3,$-0.9,$-0.9,$-181.1,$1.6,$-185.7,$-260.8,$38.3,$-181.1
2008-06-30,$408.4,$123.4,$46.4,$169.8,-,-,-,$17.4,$17.4,$595.6,$-131.4,-,"$-1,666.9",$-2.9,$-17.1,$-20,$-13,"$-1,831.3",$-4.4,$-0.3,$-4.7,$-32,$-32,$-174.4,$1.8,$-209.3,"$-1,445",$39.1,$-174.4
2008-03-31,$244.3,$117.8,$40.4,$158.2,-,-,-,$624.3,$624.3,"$1,026.8",$-88.8,-,$141.1,$-7.9,$-1.1,$-9,$-0.7,$42.6,$-5,$-3.7,$-8.7,$18.5,$18.5,$-168.8,$1.6,$-157.4,$912,$33.1,$-168.8
